passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,trep_driving_time
Steven Valdez,2017-02-24 11:24:50,2017-02-24 11:29:18,Card,1,0.6,5.0,0.0,0.0,4.466666666666667
Craig Cook,2017-02-23 08:04:57,2017-02-23 08:18:48,Cash,1,2.11,11.5,2.46,0.0,13.85
Amanda Burns MD,2017-02-12 18:45:41,2017-02-12 18:48:58,Cash,4,0.4,4.0,0.72,0.0,3.283333333333333
Gregory Stevens,2017-12-08 12:21:55,2017-12-08 12:30:38,Cash,1,1.28,7.5,5.0,0.0,8.716666666666667
Jennifer Allen,2017-09-15 19:09:51,2017-09-15 19:23:06,Card,3,1.23,9.5,2.26,0.0,13.25
Heather Leonard,2017-02-25 07:41:32,2017-02-25 07:50:26,Cash,1,2.0,9.0,1.95,0.0,8.9
Dr. Christy Velasquez,2017-12-08 07:59:11,2017-12-08 08:15:32,Cash,1,4.52,16.5,2.0,0.0,16.35
Jasmin Oconnell,2017-04-26 11:18:27,2017-04-26 11:24:59,Cash,2,1.12,6.5,1.82,0.0,6.533333333333333
Jasmine Hull,2017-02-15 17:30:24,2017-02-15 17:35:24,Card,1,0.59,5.0,1.36,0.0,5.0
Grace Duran,2017-08-14 17:15:32,2017-08-14 17:25:28,Card,1,1.5,8.5,2.55,0.0,9.933333333333334
Lauren Wilson,2017-09-05 15:10:20,2017-09-05 15:25:25,Cash,4,1.71,10.5,0.0,0.0,15.083333333333334
Amber Wise,2017-01-13 02:37:24,2017-01-13 03:17:34,Card,4,8.69,31.5,6.56,0.0,40.166666666666664
Daniel Thompson,2017-03-11 04:46:32,2017-03-11 04:57:02,Card,6,2.69,11.0,0.0,0.0,10.5
Kayla Navarro,2017-04-27 07:26:57,2017-04-27 07:28:21,Cash,1,0.42,3.5,0.86,0.0,1.4
Sarah Moore DDS,2017-07-13 08:23:29,2017-07-13 08:47:40,Cash,2,7.37,25.5,0.0,0.0,24.183333333333334
Erin Parker,2017-01-05 14:56:32,2017-01-05 15:24:31,Cash,2,2.6,17.5,0.0,0.0,27.983333333333334
Cynthia Garcia,2017-03-28 19:10:03,2017-03-28 19:13:20,Cash,1,0.8,4.5,1.26,0.0,3.283333333333333
Eduardo Brown,2017-09-01 09:37:29,2017-09-01 10:00:14,Card,1,2.9,16.0,0.0,0.0,22.75
Kristen Owens,2017-08-17 22:06:12,2017-08-17 22:32:06,Cash,1,11.07,32.5,6.76,0.0,25.9
Luis Martin,2017-02-10 11:47:00,2017-02-10 12:09:43,Card,1,2.7,15.5,4.05,0.0,22.716666666666665
Stephen Huffman,2017-03-07 20:19:42,2017-03-07 20:29:08,Cash,2,2.51,10.0,3.39,0.0,9.433333333333334
Aaron Pham,2017-03-18 12:12:18,2017-03-18 12:20:32,Card,1,0.78,7.0,0.0,0.0,8.233333333333333
Michelle Hughes,2017-03-03 08:02:59,2017-03-03 08:05:43,Card,1,0.85,4.5,1.59,0.0,2.7333333333333334
Bonnie Henderson,2017-04-26 18:08:41,2017-04-26 18:11:08,Cash,5,0.38,4.0,1.16,0.0,2.45
Kaitlin Watkins,2017-04-21 15:08:21,2017-04-21 15:18:09,Cash,1,1.15,8.0,1.76,0.0,9.8
John Reed,2017-02-04 18:04:26,2017-02-04 18:19:15,Card,1,7.16,21.0,0.0,0.0,14.816666666666666
John Tucker,2017-03-17 09:17:05,2017-03-17 09:21:34,Card,1,0.7,5.0,1.15,0.0,4.483333333333333
Maria Williams,2017-12-31 13:03:12,2017-12-31 13:06:52,Cash,6,0.71,4.5,0.0,0.0,3.6666666666666665
Thomas Johnson,2017-12-12 11:12:23,2017-12-12 12:01:01,Cash,1,3.1,28.0,5.76,0.0,48.63333333333333
Steven Parker,2017-09-03 23:15:56,2017-09-03 23:31:25,Cash,2,2.96,13.0,2.86,0.0,15.483333333333333
Scott Rodriguez,2017-12-13 07:06:10,2017-12-13 07:11:40,Card,1,0.8,5.5,1.0,0.0,5.5
Timothy Payne,2017-08-01 18:09:45,2017-08-01 18:14:05,Card,1,0.96,5.5,0.0,0.0,4.333333333333333
Angela Holder,2017-10-10 14:40:11,2017-10-10 14:54:27,Card,4,1.9,10.5,0.0,0.0,14.266666666666667
Jennifer Martin,2017-08-05 22:28:06,2017-08-05 22:34:13,Card,4,0.97,6.5,0.0,0.0,6.116666666666666
Chris Jones,2017-08-13 03:50:10,2017-08-13 03:53:43,Card,2,0.95,5.0,1.0,0.0,3.55
Kelly Reed,2017-04-25 22:20:43,2017-04-25 22:25:28,Cash,4,1.02,6.0,1.46,0.0,4.75
Stephanie Mcdaniel,2017-05-01 09:42:27,2017-05-01 09:47:29,Cash,1,0.78,5.0,1.0,0.0,5.033333333333333
Daniel Cruz,2017-06-03 18:55:02,2017-06-03 19:03:22,Cash,6,1.16,7.0,1.95,0.0,8.333333333333334
James Thomas,2017-04-16 02:43:35,2017-04-16 03:04:48,Card,3,4.3,17.5,2.22,0.0,21.216666666666665
Courtney Taylor,2017-02-25 13:04:27,2017-02-25 13:15:41,Card,1,1.9,9.5,2.55,0.0,11.233333333333333
Vincent Vargas,2017-03-17 22:00:41,2017-03-17 22:22:57,Card,2,11.2,31.5,6.56,0.0,22.266666666666666
Holly Maldonado,2017-01-10 21:06:58,2017-01-10 21:13:20,Card,1,2.0,8.0,0.0,0.0,6.366666666666666
Rhonda Harris,2017-11-16 09:31:00,2017-11-16 09:43:17,Card,2,1.02,8.5,1.86,0.0,12.283333333333333
John Fisher,2017-10-28 04:16:54,2017-10-28 04:33:06,Card,3,5.11,16.5,5.34,0.0,16.2
Amy Edwards,2017-10-13 15:48:39,2017-10-13 15:56:17,Cash,1,0.96,6.5,0.0,0.0,7.633333333333334
Katherine Briggs,2017-09-20 23:46:44,2017-09-20 23:54:08,Cash,1,1.9,8.0,1.86,0.0,7.4
Richard Gregory,2017-07-29 13:27:34,2017-07-29 13:36:28,Cash,1,1.6,8.0,1.0,0.0,8.9
Kristi Ray,2017-09-06 11:37:10,2017-09-06 11:40:44,Card,1,0.4,4.5,0.0,0.0,3.566666666666667
Amy Baker,2017-09-28 07:17:44,2017-09-28 07:21:35,Cash,1,0.9,5.0,1.0,0.0,3.85
Angela Smith,2017-08-18 01:17:32,2017-08-18 01:34:48,Card,1,4.96,17.0,3.66,0.0,17.266666666666666
Karen Carpenter DVM,2017-02-28 18:02:05,2017-02-28 18:13:30,Cash,1,4.9,16.0,5.3,0.0,11.416666666666666
Mr. Paul Owens,2017-03-10 18:31:50,2017-03-10 18:58:46,Cash,1,9.6,30.5,0.0,0.0,26.933333333333334
Teresa Phillips,2017-05-06 14:54:22,2017-05-06 15:19:17,Card,1,2.9,17.5,0.0,0.0,24.916666666666668
Rebecca Graham,2017-07-15 00:28:27,2017-07-15 00:37:09,Cash,2,1.62,8.0,1.0,0.0,8.7
Elizabeth Summers,2017-10-17 14:29:39,2017-10-17 15:00:14,Card,1,13.8,39.0,9.1,5.76,30.583333333333332
Alyssa Zuniga,2017-02-11 19:09:12,2017-02-11 19:32:20,Cash,1,1.7,14.5,1.0,0.0,23.133333333333333
Daniel Thomas,2017-06-23 19:53:53,2017-06-23 20:00:57,Cash,2,0.88,6.5,0.5,0.0,7.066666666666666
Tony Love,2017-03-26 20:06:55,2017-03-26 20:14:43,Cash,1,1.46,7.0,1.24,0.0,7.8
James Ponce,2017-07-27 10:10:04,2017-07-27 10:23:13,Card,1,1.66,10.0,1.2,0.0,13.15
Kimberly Cole,2017-12-11 20:04:27,2017-12-11 20:16:10,Cash,1,1.63,9.5,2.16,0.0,11.716666666666667
Kevin Sosa,2017-11-18 13:04:54,2017-11-18 13:39:53,Card,1,10.0,34.5,7.05,0.0,34.983333333333334
Dr. Daniel Davidson,2017-03-18 23:41:50,2017-03-18 23:49:21,Cash,1,1.42,7.0,0.0,0.0,7.516666666666667
Angelica Barker,2017-02-07 08:56:08,2017-02-07 09:07:32,Cash,1,0.72,8.0,0.0,0.0,11.4
Crystal Wright,2017-03-31 20:18:22,2017-03-31 20:50:17,Cash,3,9.67,31.0,8.08,0.0,31.916666666666668
Denise Clements,2017-05-24 20:46:11,2017-05-24 21:02:29,Card,1,2.3,12.5,2.75,0.0,16.3
Brian West,2017-02-15 20:16:09,2017-02-15 20:39:44,Cash,1,4.7,18.5,3.0,0.0,23.583333333333332
Harold Myers,2017-09-29 11:38:58,2017-09-29 12:10:34,Cash,1,3.5,19.5,0.0,0.0,31.6
Michelle Smith,2017-08-16 09:30:43,2017-08-16 09:46:07,Cash,1,2.7,12.5,0.0,0.0,15.4
Peter Sanchez,2017-06-13 19:17:33,2017-06-13 19:27:33,Card,2,1.07,8.0,0.0,0.0,10.0
Matthew Torres,2017-08-05 15:42:20,2017-08-05 16:00:35,Card,2,2.3,13.0,0.0,0.0,18.25
Danielle Hall,2017-05-13 20:55:32,2017-05-13 21:20:31,Cash,1,6.93,24.0,0.0,0.0,24.983333333333334
Danielle Hall,2017-04-10 22:17:19,2017-04-10 22:33:30,Cash,6,2.95,13.5,0.0,0.0,16.183333333333334
Nathan Miller,2017-06-03 14:24:57,2017-06-03 15:31:48,Cash,1,18.0,52.0,0.0,0.0,66.85
Eric Duarte,2017-11-17 12:01:00,2017-11-17 12:24:22,Card,6,6.25,22.5,4.66,0.0,23.366666666666667
Angelica Savage,2017-09-28 21:17:50,2017-09-28 21:30:03,Card,1,1.8,9.5,0.0,0.0,12.216666666666667
Bradley Wright,2017-04-01 02:56:51,2017-04-01 03:00:35,Card,6,0.63,4.5,1.16,0.0,3.7333333333333334
Miranda Gilmore,2017-10-21 19:27:11,2017-10-21 19:34:31,Card,2,1.3,7.0,0.0,0.0,7.333333333333333
Maria Perry,2017-12-29 17:22:05,2017-12-29 17:32:05,Cash,6,3.22,11.5,3.32,0.0,10.0
Edward Jones,2017-09-27 09:10:06,2017-09-27 09:16:56,Cash,2,1.09,6.5,1.0,0.0,6.833333333333333
Justin Johnson,2017-07-09 02:27:01,2017-07-09 02:35:16,Card,1,0.79,7.0,0.0,0.0,8.25
Ariel Stokes,2017-10-15 01:04:26,2017-10-15 01:09:50,Cash,1,1.1,5.5,1.35,0.0,5.4
Chase Brewer,2017-06-23 17:55:36,2017-06-23 18:29:34,Cash,1,2.73,20.5,4.46,0.0,33.96666666666667
Rodney Martin,2017-06-09 23:53:57,2017-06-10 00:02:51,Card,1,1.9,9.0,0.0,0.0,8.9
Dalton Davis,2017-03-04 16:40:16,2017-03-04 16:56:11,Cash,5,2.85,12.5,1.0,0.0,15.916666666666666
Nicole Boyd,2017-09-08 21:45:59,2017-09-08 22:02:24,Cash,1,1.8,11.5,0.0,0.0,16.416666666666668
Kelly Williams,2017-04-07 13:53:14,2017-04-07 13:59:27,Card,2,0.83,6.0,0.7,0.0,6.216666666666667
Peter Bender,2017-12-22 11:49:37,2017-12-22 12:21:07,Cash,1,4.2,22.0,4.56,0.0,31.5
Crystal Henson,2017-12-18 19:21:19,2017-12-18 19:37:07,Card,1,1.6,11.0,0.0,0.0,15.8
Nathan Barnett,2017-12-06 22:49:28,2017-12-06 22:53:36,Cash,1,0.5,4.5,2.0,0.0,4.133333333333334
Kimberly Perry,2017-05-19 08:05:49,2017-05-19 08:20:09,Card,1,1.71,10.5,2.26,0.0,14.333333333333334
Diana Odonnell MD,2017-06-17 00:21:33,2017-06-17 00:26:29,Card,1,1.06,5.5,0.0,0.0,4.933333333333334
Daniel Miller,2017-03-18 23:23:48,2017-03-18 23:43:44,Cash,2,4.1,17.5,3.75,0.0,19.933333333333334
Tammy Moody,2017-12-12 16:50:38,2017-12-12 16:56:27,Card,1,1.08,6.0,1.17,0.0,5.816666666666666
Sara Williamson,2017-11-24 15:17:47,2017-11-24 15:33:57,Card,1,2.6,13.0,0.0,0.0,16.166666666666668
Tyler Turner,2017-12-29 16:04:10,2017-12-29 16:10:06,Card,1,0.91,6.0,0.0,0.0,5.933333333333334
Victor Gomez,2017-07-18 19:11:53,2017-07-18 19:23:35,Cash,1,0.95,8.5,2.0,0.0,11.7
Adrienne Owens,2017-01-08 02:59:32,2017-01-08 03:04:25,Cash,1,1.71,6.5,1.0,0.0,4.883333333333334
David Burke,2017-07-09 03:01:18,2017-07-09 03:11:20,Cash,1,2.62,10.0,0.0,0.0,10.033333333333333
John Savage,2017-08-28 11:51:26,2017-08-28 12:20:34,Cash,1,9.0,28.0,0.0,0.0,29.133333333333333
Dawn Bradley,2017-07-17 14:20:31,2017-07-17 14:24:40,Card,1,0.67,4.5,1.06,0.0,4.15
Scott Olsen,2017-08-16 21:37:16,2017-08-16 21:42:40,Card,2,1.1,6.0,1.45,0.0,5.4
Erin Allen,2017-12-13 14:05:28,2017-12-13 14:20:29,Card,2,2.14,11.5,0.0,0.0,15.016666666666667
Mark Todd,2017-10-18 07:42:38,2017-10-18 07:49:21,Cash,1,1.4,6.5,1.45,0.0,6.716666666666667
Lauren Dawson,2017-12-26 23:33:55,2017-12-26 23:38:49,Cash,1,1.0,5.5,0.0,0.0,4.9
Jeremy Brown,2017-03-15 21:17:04,2017-03-15 21:23:59,Cash,1,1.84,7.5,0.0,0.0,6.916666666666667
Angel Hudson,2017-12-12 12:32:11,2017-12-12 12:35:27,Cash,1,0.55,4.0,1.2,0.0,3.2666666666666666
Jasmine Young,2017-04-06 02:45:19,2017-04-06 02:47:22,Cash,1,0.3,3.5,0.0,0.0,2.05
Ralph Elliott,2017-04-14 12:49:44,2017-04-14 12:58:24,Card,1,1.39,8.0,2.2,0.0,8.666666666666666
Samuel Hodges,2017-03-03 09:18:43,2017-03-03 09:34:52,Cash,1,1.5,11.0,0.0,0.0,16.15
Mary Richmond,2017-02-03 06:24:44,2017-02-03 06:30:49,Cash,1,1.1,6.0,0.0,0.0,6.083333333333333
Jeffrey Allen,2017-03-15 15:42:07,2017-03-15 15:46:27,Card,1,0.5,4.5,1.05,0.0,4.333333333333333
Shannon Johns,2017-05-19 14:10:22,2017-05-19 14:28:56,Cash,1,1.57,12.5,2.66,0.0,18.566666666666666
Tony Trevino,2017-09-15 22:13:28,2017-09-15 22:15:57,Cash,2,1.03,5.0,1.26,0.0,2.4833333333333334
Barbara Gordon,2017-04-17 12:03:15,2017-04-17 12:40:01,Cash,5,11.51,39.5,0.0,5.76,36.766666666666666
Danielle Jones,2017-09-01 23:10:27,2017-09-01 23:14:38,Cash,2,0.65,5.0,0.0,0.0,4.183333333333334
Mrs. Cynthia Williams,2017-11-29 11:13:29,2017-11-29 11:47:12,Cash,1,2.8,20.5,3.2,0.0,33.71666666666667
Julie Collins,2017-01-22 00:35:47,2017-01-22 01:05:47,Cash,2,6.14,24.5,0.0,0.0,30.0
David Brooks,2017-12-11 10:21:18,2017-12-11 11:14:57,Card,1,15.6,51.5,11.6,5.76,53.65
Ivan Cowan,2017-10-24 15:21:41,2017-10-24 15:39:40,Card,1,1.5,12.5,3.95,0.0,17.983333333333334
Hector Mcdonald,2017-12-04 23:16:21,2017-12-04 23:37:01,Cash,1,7.0,23.0,3.0,0.0,20.666666666666668
Christopher Ford,2017-04-21 23:15:54,2017-04-21 23:27:41,Cash,1,2.6,11.0,3.0,0.0,11.783333333333333
Evelyn Willis,2017-04-29 13:29:04,2017-04-29 13:48:15,Card,1,3.1,15.0,1.0,0.0,19.183333333333334
Jonathan Flores,2017-11-11 20:16:16,2017-11-11 20:17:14,Card,1,0.23,52.0,0.0,0.0,0.9666666666666667
Rebecca Patterson,2017-04-12 20:13:55,2017-04-12 20:30:59,Cash,1,2.1,12.0,2.65,0.0,17.066666666666666
Michael Mckinney,2017-08-23 15:26:21,2017-08-23 15:42:56,Card,2,1.97,12.0,0.0,0.0,16.583333333333332
Margaret Cook,2017-06-07 07:55:31,2017-06-07 08:10:37,Cash,1,4.67,17.0,3.56,0.0,15.1
Sean Robinson,2017-03-22 22:55:41,2017-03-22 23:18:02,Cash,1,4.31,17.5,3.76,0.0,22.35
Mrs. Sarah Burke MD,2017-06-08 19:27:01,2017-06-08 19:34:50,Cash,1,0.84,6.5,0.0,0.0,7.816666666666666
Philip Cameron,2017-10-05 00:02:28,2017-10-05 00:13:38,Card,2,2.34,10.5,2.36,0.0,11.166666666666666
Julia Davis,2017-06-19 01:03:56,2017-06-19 01:07:06,Card,2,1.04,5.0,0.0,0.0,3.1666666666666665
Brian Jones,2017-04-15 12:08:51,2017-04-15 12:27:40,Cash,6,2.84,14.0,2.96,0.0,18.816666666666666
Tracy Conner,2017-05-31 20:58:40,2017-05-31 21:02:51,Cash,2,0.3,4.5,0.0,0.0,4.183333333333334
Brian Reed,2017-07-15 22:34:32,2017-07-15 23:02:01,Card,1,3.9,19.0,0.0,0.0,27.483333333333334
Nancy Thompson,2017-02-12 15:37:16,2017-02-12 16:03:24,Card,1,5.27,22.0,0.0,0.0,26.133333333333333
Lacey Thompson,2017-04-20 07:13:18,2017-04-20 07:29:07,Cash,1,3.3,13.5,2.85,0.0,15.816666666666666
Cynthia White,2017-06-22 14:22:05,2017-06-22 16:07:28,Card,1,16.9,71.5,0.0,0.0,105.38333333333334
Linda Lopez,2017-08-16 18:31:15,2017-08-16 18:37:37,Cash,1,1.4,6.5,1.65,0.0,6.366666666666666
Jorge Walker,2017-06-13 20:05:03,2017-06-13 20:42:53,Card,1,18.05,69.5,0.0,10.5,37.833333333333336
Andrea Mathis,2017-06-13 19:04:30,2017-06-13 19:09:05,Card,3,0.47,5.0,1.36,0.0,4.583333333333333
Kristi Young,2017-07-08 14:42:21,2017-07-08 15:00:29,Cash,3,2.3,13.0,2.76,0.0,18.133333333333333
Kerri Carey,2017-12-27 17:40:19,2017-12-27 18:01:03,Card,1,8.32,25.5,5.0,5.76,20.733333333333334
Terry Smith,2017-02-03 20:40:17,2017-02-03 20:44:15,Card,2,0.95,5.5,1.02,0.0,3.966666666666667
Douglas Weaver,2017-01-20 19:57:42,2017-01-20 20:05:12,Cash,1,0.66,6.5,1.0,0.0,7.5
John Morrow,2017-06-07 22:52:36,2017-06-07 23:07:32,Card,1,3.8,14.5,3.15,0.0,14.933333333333334
Frank Barnes,2017-05-01 22:09:25,2017-05-01 22:22:08,Cash,1,2.4,11.0,3.05,0.0,12.716666666666667
Dawn Peterson,2017-05-15 08:22:26,2017-05-15 08:57:04,Card,2,4.24,22.5,4.66,0.0,34.63333333333333
Renee Johnson,2017-11-07 07:38:58,2017-11-07 07:50:30,Card,1,1.77,9.5,0.0,0.0,11.533333333333333
Ashley Bell,2017-10-31 22:24:38,2017-10-31 22:46:52,Cash,1,2.4,15.0,3.25,0.0,22.233333333333334
Tammy Duran,2017-12-04 17:39:14,2017-12-04 17:56:05,Card,1,2.5,12.5,0.0,0.0,16.85
Henry Anderson,2017-05-29 21:48:43,2017-05-29 21:57:47,Cash,2,2.5,9.5,1.5,0.0,9.066666666666666
Laura Bennett,2017-09-07 08:10:12,2017-09-07 08:15:38,Card,1,0.99,6.0,3.0,0.0,5.433333333333334
Dylan Meyer,2017-10-05 18:49:25,2017-10-05 19:01:35,Card,2,2.2,10.5,1.6,0.0,12.166666666666666
Samantha Miller,2017-09-15 19:17:58,2017-09-15 19:54:54,Cash,2,3.3,22.0,4.75,0.0,36.93333333333333
Jessica Ortiz,2017-04-15 13:56:10,2017-04-15 14:03:10,Card,1,1.13,7.0,0.0,0.0,7.0
Derek Beasley,2017-03-05 19:53:21,2017-03-05 19:55:53,Cash,1,0.43,4.0,0.96,0.0,2.533333333333333
Bruce Davis,2017-09-26 11:56:19,2017-09-26 12:01:58,Cash,1,1.72,7.5,0.0,0.0,5.65
Ian Porter,2017-01-25 18:33:16,2017-01-25 18:55:51,Cash,1,3.2,16.0,2.0,0.0,22.583333333333332
Angela Williams,2017-08-13 10:01:30,2017-08-13 10:22:20,Cash,6,10.01,29.0,8.89,5.76,20.833333333333332
Gregory Holmes,2017-04-11 16:13:04,2017-04-11 16:18:29,Card,1,0.8,6.0,2.3,0.0,5.416666666666667
Jessica Santiago,2017-01-24 18:03:38,2017-01-24 18:09:15,Card,1,1.35,6.0,1.0,0.0,5.616666666666666
Amanda Harding,2017-02-25 18:11:36,2017-02-25 18:45:37,Card,5,3.85,21.5,0.0,0.0,34.016666666666666
David Chavez,2017-11-17 22:09:03,2017-11-17 22:29:09,Cash,5,1.6,12.5,0.0,0.0,20.1
Lisa Bullock,2017-02-13 16:25:41,2017-02-13 16:55:35,Cash,1,4.2,21.0,0.0,0.0,29.9
Lisa Bullock,2017-02-13 16:25:41,2017-02-13 16:55:35,Cash,1,4.2,21.0,0.0,0.0,29.9
Michele Figueroa,2017-05-28 21:33:34,2017-05-28 21:41:22,Card,1,2.1,8.5,1.25,0.0,7.8
Dwayne Williams,2017-07-20 17:31:40,2017-07-20 17:52:46,Cash,1,0.78,13.0,2.96,0.0,21.1
Robert Ward,2017-07-07 05:23:56,2017-07-07 05:26:24,Cash,5,0.74,4.5,1.16,0.0,2.466666666666667
Christine Simpson,2017-11-30 21:06:14,2017-11-30 21:14:01,Cash,4,0.99,7.0,1.0,0.0,7.783333333333333
Bradley Smith,2017-08-05 15:32:48,2017-08-05 15:39:57,Cash,1,1.3,7.0,0.0,0.0,7.15
William Wright,2017-11-18 10:33:09,2017-11-18 10:45:24,Cash,6,2.21,10.5,1.7,0.0,12.25
Hannah Shepherd,2017-01-27 14:58:47,2017-01-27 15:15:53,Card,3,1.9,12.5,2.0,0.0,17.1
Johnny Powell,2017-06-24 07:02:13,2017-06-24 07:09:00,Cash,1,1.32,7.0,1.1,0.0,6.783333333333333
Angel Adams,2017-11-17 20:45:06,2017-11-17 20:54:02,Card,2,0.5,7.0,0.0,0.0,8.933333333333334
Lindsey Mathis,2017-07-29 13:22:34,2017-07-29 13:49:07,Cash,1,4.93,20.0,2.0,0.0,26.55
Lauren Becker,2017-11-22 01:15:43,2017-11-22 01:23:38,Cash,1,1.4,7.5,1.75,0.0,7.916666666666667
Amber Sellers,2017-06-09 16:47:06,2017-06-09 17:14:38,Card,1,2.52,18.0,3.96,0.0,27.533333333333335
Paul Ortiz,2017-04-11 19:35:31,2017-04-11 19:51:12,Card,1,2.69,12.0,0.0,0.0,15.683333333333334
Robert Smith,2017-02-05 17:46:38,2017-02-05 17:57:53,Card,1,1.5,8.5,1.0,0.0,11.25
Victoria Hayes,2017-10-12 08:42:25,2017-10-12 08:57:22,Cash,1,1.36,10.5,2.26,0.0,14.95
Kevin Gentry,2017-05-12 08:52:40,2017-05-12 09:09:29,Cash,1,1.52,11.5,2.46,0.0,16.816666666666666
Jonathan Phillips,2017-11-23 00:31:38,2017-11-23 00:45:00,Card,1,4.5,14.5,0.0,0.0,13.366666666666667
Richard Campbell,2017-11-11 13:39:55,2017-11-11 14:53:05,Card,1,13.61,55.0,11.16,0.0,73.16666666666667
Robert Blackburn,2017-08-14 12:26:31,2017-08-14 12:49:29,Cash,3,4.5,19.0,0.0,0.0,22.966666666666665
Natasha Molina,2017-03-13 15:40:17,2017-03-13 15:48:35,Card,1,1.1,7.5,1.65,0.0,8.3
Michele Davis,2017-07-16 01:33:20,2017-07-16 01:38:08,Card,1,1.29,6.0,1.46,0.0,4.8
